slug,all_text,rating,roaster,name
https://www.coffeereview.com/review/sweety-espresso-blend/," 


95


A.R.C.
“Sweety” Espresso Blend








Roaster Location:
Hong Kong, China


Coffee Origin:
Panama; Ethiopia


Roast Level:
Medium-Light


Agtron:
50/73


Est. Price:
HKD $250/227 grams






Review Date:
November 2017


Aroma:
9


Body:
9							

Flavor:
9


Aftertaste:
9


With Milk:
9




Blind Assessment: Evaluated as espresso. Sweet-toned, deeply rich, chocolaty. Vanilla paste, dark chocolate, narcissus, pink grapefruit zest, black cherry in aroma and cup. Plush, syrupy mouthfeel; resonant, flavor-saturated finish. In three parts milk, rich chocolate tones intensify, along with intimations of vanilla paste and black cherry in the short finish and floral-toned citrus zest in the long. 
Notes: An espresso blend comprised of coffees from Panama and Ethiopia. A.R.C., whose motto is “more than specialty,” rigorously controls three vital elements: sourcing of green coffee, roasting, and, in cafe environments, water quality for brewed coffee. For more information, visit http://www.arc.coffee/en/index.html.
The Bottom Line: A radiant espresso blend that shines equally in the straight shot and in milk, alive with notes of rich dark chocolate and black cherry.

Show all reviews for this roaster
 
",95,A.R.C.,“Sweety” Espresso Blend
https://www.coffeereview.com/review/flora-blend-espresso/," 


94


A.R.C.
Flora Blend Espresso








Roaster Location:
Hong Kong, China


Coffee Origin:
Africa; Asia Pacific


Roast Level:
Medium-Light


Agtron:
54/77


Est. Price:
HKD $158/227 grams






Review Date:
November 2017


Aroma:
9


Body:
9							

Flavor:
9


Aftertaste:
8


With Milk:
9




Blind Assessment: Evaluated as espresso. Sweetly tart, floral-toned. Honeysuckle, oak, dried apricot, dark chocolate, thyme in aroma and small cup. Delicately syrupy body; gently drying, floral-driven finish in the short and sweetly herb-toned in the long. In three parts milk, chocolate, florals and fruit all take center stage, and thyme-like herb notes gently follow.
Notes: An espresso blend comprised of coffees from Africa and the Asia-Pacific. A.R.C., whose motto is “more than specialty,” rigorously controls three vital elements: sourcing of green coffee, roasting, and, in cafe environments, water quality for brewed coffee. For more information, visit http://www.arc.coffee/en/index.html.
The Bottom Line: A floral-driven straight shot, amplified with notes of stone fruit and chocolate in cappuccino-scaled milk.

Show all reviews for this roaster
 
",94,A.R.C.,Flora Blend Espresso
https://www.coffeereview.com/review/ethiopia-shakiso-mormora/," 


92


Revel Coffee
Ethiopia Shakiso Mormora








Roaster Location:
Billings, Montana


Coffee Origin:
Guji Zone, southern Ethiopia


Roast Level:
Medium-Light


Agtron:
54/70


Est. Price:
$16.00/12 ounces






Review Date:
November 2017


Aroma:
9


Acidity/Structure: 8


Body:
8							

Flavor:
9


Aftertaste:
8




Blind Assessment: Crisply sweet, cocoa-toned. Lemon blossom, roasted cacao nib, date, rice candy, white peppercorn in aroma and cup. Savory-tart structure; delicate, silky mouthfeel. The richly drying finish leads with cocoa-toned, crisply sweet floral notes in the short and a hint of spice (white peppercorn) in the long.
Notes: This coffee tied for the third-highest rating in a tasting of 71 organic-certified coffees from Africa for Coffee Review’s November 2017 tasting report. Southern Ethiopia coffees like this one are produced from traditional Ethiopian varieties of Arabica long grown in the region. When processed by the wet or washed method (fruit skin and pulp are removed before drying) they typically express great aromatic complexity and intensity with a particular emphasis on floral notes. Like virtually all southern Ethiopia coffees, this coffee is produced by villagers on small, garden plots interplanted with food and other subsistence crops. Revel Coffee is a micro-roaster located in Billings, Montana. Its motto: “Quality is paramount — a difference you can revel in.” Visit www.revelcoffee.com or call 406-534-9621 for more information.
The Bottom Line: A gently spice-toned, floral- driven wet-processed Ethiopia cup with pleasing notes of cocoa throughout.

Show all reviews for this roaster
 
This review originally appeared in the November, 2017 tasting report: Organic-Certified Coffees from Africa: Benefits, Challenges, Complexities",92,Revel Coffee,Ethiopia Shakiso Mormora
https://www.coffeereview.com/review/ethiopia-suke-quto/," 


92


Roast House
Ethiopia Suke Quto








Roaster Location:
Spokane, Washington


Coffee Origin:
Guji Zone, Oromia Region, south-central Ethiopia


Roast Level:
Medium-Light


Agtron:
53/79


Est. Price:
$19.00/16 ounces






Review Date:
November 2017


Aroma:
8


Acidity/Structure: 8


Body:
9							

Flavor:
9


Aftertaste:
8




Blind Assessment: Delicate, sweetly spice-toned. Pink peppercorn, date, myrrh, lavender, roasted cacao nib in aroma and cup. Crisp, spice-toned structure with citrus-like acidity; satiny, very smooth mouthfeel. The crisply sweet finish centers around spice and pungent floral notes.
Notes: This coffee tied for the third-highest rating in a tasting of 71 organic-certified coffees from Africa for Coffee Review’s November 2017 tasting report. Southern Ethiopia coffees like this one are produced from traditional Ethiopian varieties of Arabica long grown in the region. When processed by the wet or washed method (fruit skin and pulp are removed before drying) they typically express great aromatic complexity and intensity with a particular emphasis on floral notes. Like virtually all southern Ethiopia coffees, this one is produced by villagers on small, garden plots interplanted with food and other subsistence crops. Roast House is a small-batch, quality-focused roaster specializing in farm-direct organic-certified and Fair Trade Certified coffees. Visit roasthousecoffee.com or call 509-995-6500 for more information.
The Bottom Line: Lavender-like flowers and hints of zesty pink peppercorn animate this crisply sweet wet-processed Ethiopia cup.

Show all reviews for this roaster
 
This review originally appeared in the November, 2017 tasting report: Organic-Certified Coffees from Africa: Benefits, Challenges, Complexities",92,Roast House,Ethiopia Suke Quto
https://www.coffeereview.com/review/ethiopia-gedeb-halo-beriti/," 


94


Big Creek Coffee Roasters
Ethiopia Gedeb Halo Beriti








Roaster Location:
Hamilton, Montana


Coffee Origin:
Gedeb District, Gedeo Zone, southern Ethiopia


Roast Level:
Medium


Agtron:
48/70


Est. Price:
$16.50/12 ounces






Review Date:
November 2017


Aroma:
9


Acidity/Structure: 9


Body:
9							

Flavor:
9


Aftertaste:
8




Blind Assessment: Deeply sweet, subtly pungent. Honey, pear, tangerine zest, dark chocolate, pistachio in aroma and cup. Sweet and juicy yet crisp in structure (think ripe pear); plush and buoyant in mouthfeel. Resonant and flavor saturated in the short finish; simplifies around hints of tangerine and pistachio in the long.
Notes: Southern Ethiopia coffees like this one are produced from distinctive traditional Ethiopian varieties of Arabica long grown in the region. Like virtually all southern Ethiopia coffees, this coffee is produced by villagers on small garden plots interplanted with food and other subsistence crops. Processed by the wet or washed method (fruit skin and pulp are removed before drying). This coffee tied for the highest rating in a tasting of 71 organic-certified coffees from Africa for Coffee Review’s November 2017 tasting report. Big Creek Coffee Roasters is a small, quality-oriented batch roaster located in Montana’s Bitterroot Valley. Visit www.bigcreekcoffeeroasters.com or call 406-375-7508 for more information.
The Bottom Line: A deeply and generously lush cup saved from sentimentality by a crisp, incense-like, slightly savory edge. Very wide range of aromatics.

Show all reviews for this roaster
 
This review originally appeared in the November, 2017 tasting report: Organic-Certified Coffees from Africa: Benefits, Challenges, Complexities",94,Big Creek Coffee Roasters,Ethiopia Gedeb Halo Beriti
https://www.coffeereview.com/review/ethiopia-kayon-mountain-2/," 


93


Red Rooster Coffee Roaster
Ethiopia Kayon Mountain








Roaster Location:
Floyd, Virginia


Coffee Origin:
Odo Shakiso District, Guji Zone, southern Ethiopia


Roast Level:
Light


Agtron:
66/92


Est. Price:
$17.49/12 ounces






Review Date:
November 2017


Aroma:
9


Acidity/Structure: 8


Body:
9							

Flavor:
9


Aftertaste:
8




Blind Assessment: Delicate, richly and sweetly tart. Dried hibiscus, fine musk, almond, sandalwood, raspberry in aroma and cup. Fruit-toned, deeply sweet structure with gently-expressed acidity; buoyant, satiny-smooth mouthfeel. The crisp, flavor-saturated finish is characterized by sweet-tart fruit and floral tones (raspberry, hibiscus).
Notes: This coffee tied for the second-highest rating in a tasting of 71 organic-certified coffees from Africa for Coffee Review’s November 2017 tasting report. Southern Ethiopia coffees like this one are produced from distinctive traditional Ethiopian varieties of Arabica long grown in the region. Like virtually all southern Ethiopia coffees, this coffee is produced by villagers on small garden plots interplanted with food and other subsistence crops. This is a dry-processed or “natural” coffee, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. Certified USDA organic. Established in 2010, Red Rooster is an organic-certified micro-roaster focusing on socially conscious coffee and high-quality coffee. Visit redroostercoffee.com or call 540-745-7338 for more information.
The Bottom Line: A lively and crisply sweet, fruit-forward natural-processed Ethiopia cup.

Show all reviews for this roaster
 
This review originally appeared in the November, 2017 tasting report: Organic-Certified Coffees from Africa: Benefits, Challenges, Complexities",93,Red Rooster Coffee Roaster,Ethiopia Kayon Mountain
https://www.coffeereview.com/review/ethiopia-gelgelu-natural-organic/," 


93


Willoughby's Coffee & Tea
Ethiopia Gelgelu Natural Organic


 





Roaster Location:
Branford, Connecticut


Coffee Origin:
Yirgacheffe growing region, southern Ethiopia


Roast Level:
Medium-Light


Agtron:
54/75


Est. Price:
$17.99/16 ounces






Review Date:
November 2017


Aroma:
9


Acidity/Structure: 8


Body:
9							

Flavor:
9


Aftertaste:
8




Blind Assessment: High-toned, floral. Dried apricot, magnolia, almond butter, maple syrup, cherry brandy in aroma and cup. Crisp, sweetly-tart in structure; plush, syrupy mouthfeel. Notes of magnolia and dried apricot dominate in the flavor-laden short finish, with hints of almond butter and fruit brandy in the long.
Notes: This coffee tied for the second-highest rating in a tasting of 71 organic-certified coffees from Africa for Coffee Review’s November 2017 tasting report. Southern Ethiopia coffees like this one are produced from traditional Ethiopian varieties of Arabica long grown in the region. This is a dry-processed or “natural” Yirgacheffe, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. Certified USDA organic. Willoughby’s Coffee & Tea is a pioneer specialty coffee roaster established in the early 1980s that has gracefully and successfully moved with the times and now offers a menu of extremely refined small-lot, single-origin coffees. Visit www.willoughbyscoffee.com or call 800-388-8400 for more information.
The Bottom Line: A deeply sweet natural-processed Ethiopia cup, with stone fruit and brandy notes as parallel throughlines.

Show all reviews for this roaster
Visit Willoughby's Coffee & Tea >  
This review originally appeared in the November, 2017 tasting report: Organic-Certified Coffees from Africa: Benefits, Challenges, Complexities",93,Willoughby's Coffee & Tea,Ethiopia Gelgelu Natural Organic
https://www.coffeereview.com/review/ethiopia-hambela-alaka/," 


93


Black Oak Coffee Roasters
Ethiopia Hambela Alaka








Roaster Location:
Ukiah, California


Coffee Origin:
Hambela Wamena District, Guji Zone, Oromia Region, southern Ethiopia


Roast Level:
Medium-Light


Agtron:
58/80


Est. Price:
$17.50/12 ounces






Review Date:
November 2017


Aroma:
9


Acidity/Structure: 8


Body:
9							

Flavor:
9


Aftertaste:
8




Blind Assessment: Very delicate, sweetly savory. Lemon verbena, allspice, dried persimmon, dogwood, baker’s chocolate in aroma and cup. Balanced, sweet-savory structure; velvety-smooth mouthfeel. The sweetly herb-toned finish centers on notes of lemon verbena and dried persimmon wrapped in baker’s chocolate.
Notes: This coffee tied for the second-highest rating in a tasting of 71 organic-certified coffees from Africa for Coffee Review’s November 2017 tasting report. Southern Ethiopia produces distinctive coffees from traditional varieties of Arabica long grown in the region. This lot was processed by the wet or washed method (fruit skin and pulp are removed before drying). Certified USDA organic. Artisan coffee-roasters in the northern California town of Ukiah, Black Oak’s mission is to bring to life each carefully selected coffee’s unique origins. For more information, visit www.blackoakcoffee.com.
The Bottom Line: A delicate, richly sweet wet-processed Ethiopia: spice, herb, fruit and flowers in intricate balance.

Show all reviews for this roaster
 
This review originally appeared in the November, 2017 tasting report: Organic-Certified Coffees from Africa: Benefits, Challenges, Complexities",93,Black Oak Coffee Roasters,Ethiopia Hambela Alaka
https://www.coffeereview.com/review/organic-ethiopia-kirite/," 


93


Wonderstate Coffee
Organic Ethiopia Kirite


 





Roaster Location:
Driftless, Wisconsin


Coffee Origin:
Hambela District, Guji Zone, Oromia Region, southern Ethiopia


Roast Level:
Medium-Light


Agtron:
58/81


Est. Price:
$18.00/12 ounces






Review Date:
November 2017


Aroma:
9


Acidity/Structure: 9


Body:
8							

Flavor:
9


Aftertaste:
8




Blind Assessment: High-toned, crisply sweet. Lemon blossom, apricot, frankincense, spearmint, roasted cacao nib in aroma and cup. Balanced, complete sweet-savory structure; satiny, full mouthfeel. Sweet spearmint notes carry the cocoa-toned finish, with hints of lemon blossom and apricot.
Notes: This coffee tied for the second-highest rating in a tasting of 71 organic-certified coffees from Africa for Coffee Review’s November 2017 tasting report. Produced by the METAD farm and mill in southern Ethiopia. Southern Ethiopia produces distinctive coffees from traditional varieties of Arabica long grown in the region. Coffees like this one processed by the wet or washed method (fruit skin and pulp is removed before drying) typically express great aromatic complexity and intensity with a particular emphasis on citrus and floral notes. Ceritifed USDA organic. Wonderstate Coffee, formerly Kickapoo Coffee, is an award-winning roaster based in rural Wisconsin known for their commitment to guaranteeing higher pay for farmers and being the country’s first 100% solar powered roastery. Visit https://wonderstate.com for more information.
The Bottom Line: An inviting wet-processed Ethiopia cup. Invokes a walk through a citrus orchard in spring, with a bonus of sweet herb and cocoa tones.

Show all reviews for this roaster
Shop for Wonderstate Coffee at Trade Coffee Co >  
This review originally appeared in the November, 2017 tasting report: Organic-Certified Coffees from Africa: Benefits, Challenges, Complexities",93,Wonderstate Coffee,Organic Ethiopia Kirite
https://www.coffeereview.com/review/ethiopia-sidama/," 


94


Reunion Island Coffee
Ethiopia Sidama


 





Roaster Location:
Oakville, Ontario, Canada


Coffee Origin:
Sidama (also Sidamo) growing region, southern Ethiopia


Roast Level:
Medium


Agtron:
47/72


Est. Price:
CAD $17.00/12 ounces






Review Date:
November 2017


Aroma:
9


Acidity/Structure: 9


Body:
9							

Flavor:
9


Aftertaste:
8




Blind Assessment: Balanced, sweet-savory. Red currant, roasted cacao nib, clove, blood orange zest, frankincense in aroma and cup. Savory-sweet structure with lively acidity; syrupy mouthfeel. The resonant, spice-toned finish leads with intimations of clove and roasted cacao nib in the short, rounding to rich fruit tones with hints of frankincense in the long.
Notes: This exceptional coffee was selected as the No. 17 coffee on Coffee Review’s list of the Top 30 Coffees of 2017.  This coffee also tied for the highest rating in a tasting of 71 organic-certified coffees from Africa for Coffee Review’s November 2017 tasting report. Southern Ethiopia coffees like this one are produced from distinctive traditional Ethiopian varieties of Arabica long grown in the region. Like virtually all southern Ethiopia coffees, this coffee is produced by villagers on small garden plots interplanted with food and other subsistence crops. This lot was processed by the wet or washed method (fruit skin and pulp are removed before drying). Organic and Fair Trade certified, the latter meaning they were purchased from small-holding farmers at a “fair” or economically sustainable price. Reunion Island Coffee is a quality-oriented roasting company founded by Canadian specialty coffee veteran Peter Pesce. Visit www.reunionislandcoffee.com or call 800-565-5950 for more information.
The Bottom Line: An elegantly expressive, fruit-forward but savory-leaning Ethiopia cup.

Show all reviews for this roaster
 
This review originally appeared in the November, 2017 tasting report: Organic-Certified Coffees from Africa: Benefits, Challenges, Complexities",94,Reunion Island Coffee,Ethiopia Sidama
